Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Product Title,Product ID,Product Type,SKU ID,Device Model,Country of Buyer,Currency of Sale,State of Buyer,Postal Code of Buyer,Item Price,Taxes Collected,Charged Amount,Base Plan ID,Offer ID
GPA.3349-0743-5556-18924,2021-11-01,1635789195,Charged,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,OP4C7BL1,RU,RUB,Москва,115563,90.83,18.17,109.00,,
GPA.3331-6095-4985-59577,2021-11-01,1635791825,Charged,Remove advertisements (Whisky App),com.vansteinengroentjes.apps.whisky,1,com.vansteinengroentjes.apps.whisky.adverts,camellian,BE,EUR,,,1.50,0.32,1.82,,
GPA.3343-4112-5826-01193,2021-11-01,1635793625,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,judypn,US,USD,ND,58346,5.49,0.38,5.87,,
GPA.3397-2825-9429-70987,2021-11-01,1635805062,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,merlinnfc,DE,EUR,,,4.19,0.80,4.99,,
GPA.3331-1672-8520-93384,2021-11-01,1635807251,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,ASUS_Z01QD_1,GB,GBP,,,2.16,0.43,2.59,,
GPA.3316-0017-1728-82204,2021-11-01,1635807270,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,ASUS_Z01QD_1,GB,GBP,,,3.49,0.70,4.19,,
GPA.3304-8267-3965-87808,2021-11-02,1635813878,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,acexlm,US,USD,CT,06451,5.49,0.35,5.84,,
GPA.3386-5676-5771-00719,2021-11-02,1635823619,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,sofiap,US,USD,TX,76131,3.49,0.29,3.78,,
GPA.3316-8440-8865-94581,2021-11-02,1635846393,Charged,Euro 2012,com.droidbs.apps.ekapp2012,1,,TECNO-KF7j,GH,GHS,,,5.00,0.88,5.88,,
GPA.3316-8440-8865-94581,2021-11-02,1635846393,Refund,Euro 2012,com.droidbs.apps.ekapp2012,1,,TECNO-KF7j,GH,GHS,,,5.00,-0.88,-5.88,,
GPA.3317-3591-1997-45320,2021-11-02,1635856536,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,USD,WA,98513,5.49,0.52,6.01,,
GPA.3330-8078-7356-00429,2021-11-02,1635871133,Charged,Scheurkalender Live Wallpaper,com.droidbs.wallpaper.live.blockcalendar,1,,r8q,NL,EUR,,,0.98,0.21,1.19,,
GPA.3348-5523-5989-62135,2021-11-02,1635874667,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a51,FI,EUR,,,4.02,0.97,4.99,,
GPA.3350-6668-3559-13793,2021-11-02,1635876883,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mh,MX,MXN,,97173,56.03,8.97,65.00,,
GPA.3316-4155-7999-48545,2021-11-02,1635891665,Charged,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,denver,US,USD,MI,48370,2.49,0.15,2.64,,
GPA.3379-3502-3121-09726,2021-11-02,1635896042,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a12u,US,USD,MN,55721,5.49,0.38,5.87,,
